preset,mode,frequency_hz,magnitude_db
JT11ELCF,Realtime,1.000000e+01,-1.827405e-03
JT11ELCF,Realtime,1.209042e+01,-5.043844e-04
JT11ELCF,Realtime,1.461782e+01,-2.122426e-04
JT11ELCF,Realtime,1.767355e+01,-1.660605e-04
JT11ELCF,Realtime,2.136806e+01,-4.623739e-04
JT11ELCF,Realtime,2.583488e+01,-1.898622e-04
JT11ELCF,Realtime,3.123544e+01,-1.841447e-04
JT11ELCF,Realtime,3.776495e+01,-2.030323e-04
JT11ELCF,Realtime,4.565940e+01,1.630229e-05
JT11ELCF,Realtime,5.520412e+01,-4.012285e-05
JT11ELCF,Realtime,6.674408e+01,1.298501e-05
JT11ELCF,Realtime,8.069638e+01,-8.840713e-05
JT11ELCF,Realtime,9.756529e+01,-1.210254e-04
JT11ELCF,Realtime,1.179605e+02,-3.640260e-05
JT11ELCF,Realtime,1.426192e+02,-4.905278e-05
JT11ELCF,Realtime,1.724325e+02,-4.547106e-05
JT11ELCF,Realtime,2.084781e+02,-4.993875e-05
JT11ELCF,Realtime,2.520587e+02,-6.208699e-05
JT11ELCF,Realtime,3.047495e+02,-3.454520e-05
JT11ELCF,Realtime,3.684548e+02,-9.637643e-05
JT11ELCF,Realtime,4.454773e+02,-2.819288e-05
JT11ELCF,Realtime,5.386006e+02,-2.841192e-05
JT11ELCF,Realtime,6.511906e+02,-1.460896e-05
JT11ELCF,Realtime,7.873166e+02,-8.889784e-06
JT11ELCF,Realtime,9.518985e+02,-5.173891e-06
JT11ELCF,Realtime,1.150885e+03,4.616220e-06
JT11ELCF,Realtime,1.391468e+03,1.022088e-05
JT11ELCF,Realtime,1.682343e+03,2.559648e-05
JT11ELCF,Realtime,2.034023e+03,7.938438e-07
JT11ELCF,Realtime,2.459218e+03,7.788430e-05
JT11ELCF,Realtime,2.973297e+03,1.286134e-04
JT11ELCF,Realtime,3.594840e+03,2.097400e-04
JT11ELCF,Realtime,4.346312e+03,3.405105e-04
JT11ELCF,Realtime,5.254872e+03,5.305509e-04
JT11ELCF,Realtime,6.353360e+03,8.085495e-04
JT11ELCF,Realtime,7.681477e+03,1.235199e-03
JT11ELCF,Realtime,9.287226e+03,1.833400e-03
JT11ELCF,Realtime,1.122864e+04,2.607896e-03
JT11ELCF,Realtime,1.357590e+04,3.481380e-03
JT11ELCF,Realtime,1.641383e+04,4.263575e-03
JT11ELCF,Realtime,1.984500e+04,4.741258e-03
JT11ELCF,Physical,1.000000e+01,8.135627e-01
JT11ELCF,Physical,1.209042e+01,6.307595e-01
JT11ELCF,Physical,1.461782e+01,5.263907e-01
JT11ELCF,Physical,1.767355e+01,4.484315e-01
JT11ELCF,Physical,2.136806e+01,3.649759e-01
JT11ELCF,Physical,2.583488e+01,3.248213e-01
JT11ELCF,Physical,3.123544e+01,2.352409e-01
JT11ELCF,Physical,3.776495e+01,1.925960e-01
JT11ELCF,Physical,4.565940e+01,1.692190e-01
JT11ELCF,Physical,5.520412e+01,9.796604e-02
JT11ELCF,Physical,6.674408e+01,1.010833e-01
JT11ELCF,Physical,8.069638e+01,8.397289e-02
JT11ELCF,Physical,9.756529e+01,2.377647e-02
JT11ELCF,Physical,1.179605e+02,9.829686e-02
JT11ELCF,Physical,1.426192e+02,3.339574e-02
JT11ELCF,Physical,1.724325e+02,2.591853e-02
JT11ELCF,Physical,2.084781e+02,2.469393e-02
JT11ELCF,Physical,2.520587e+02,1.389376e-02
JT11ELCF,Physical,3.047495e+02,3.203437e-02
JT11ELCF,Physical,3.684548e+02,-5.928831e-04
JT11ELCF,Physical,4.454773e+02,1.107565e-02
JT11ELCF,Physical,5.386006e+02,8.396649e-03
JT11ELCF,Physical,6.511906e+02,5.819169e-03
JT11ELCF,Physical,7.873166e+02,3.397106e-03
JT11ELCF,Physical,9.518985e+02,6.312998e-04
JT11ELCF,Physical,1.150885e+03,5.951515e-04
JT11ELCF,Physical,1.391468e+03,2.169266e-05
JT11ELCF,Physical,1.682343e+03,-3.606994e-04
JT11ELCF,Physical,2.034023e+03,-4.779873e-03
JT11ELCF,Physical,2.459218e+03,-2.896301e-03
JT11ELCF,Physical,2.973297e+03,-2.100896e-03
JT11ELCF,Physical,3.594840e+03,-3.902364e-03
JT11ELCF,Physical,4.346312e+03,-1.656244e-03
JT11ELCF,Physical,5.254872e+03,-2.257184e-03
JT11ELCF,Physical,6.353360e+03,-3.829508e-03
JT11ELCF,Physical,7.681477e+03,-4.194953e-03
JT11ELCF,Physical,9.287226e+03,-9.076171e-04
JT11ELCF,Physical,1.122864e+04,3.582601e-04
JT11ELCF,Physical,1.357590e+04,-1.153475e-03
JT11ELCF,Physical,1.641383e+04,-2.734260e-03
JT11ELCF,Physical,1.984500e+04,-1.189820e+00
