preset,mode,frequency_hz,magnitude_db
JT115KE,Realtime,1.000000e+01,-3.094737e-01
JT115KE,Realtime,1.209042e+01,-2.113137e-01
JT115KE,Realtime,1.461782e+01,-1.455111e-01
JT115KE,Realtime,1.767355e+01,-9.999775e-02
JT115KE,Realtime,2.136806e+01,-6.917158e-02
JT115KE,Realtime,2.583488e+01,-4.718460e-02
JT115KE,Realtime,3.123544e+01,-3.233379e-02
JT115KE,Realtime,3.776495e+01,-2.247784e-02
JT115KE,Realtime,4.565940e+01,-1.484893e-02
JT115KE,Realtime,5.520412e+01,-1.031073e-02
JT115KE,Realtime,6.674408e+01,-6.884474e-03
JT115KE,Realtime,8.069638e+01,-4.838168e-03
JT115KE,Realtime,9.756529e+01,-3.286825e-03
JT115KE,Realtime,1.179605e+02,-1.263766e-03
JT115KE,Realtime,1.426192e+02,-1.466984e-03
JT115KE,Realtime,1.724325e+02,-8.747661e-04
JT115KE,Realtime,2.084781e+02,-7.479000e-04
JT115KE,Realtime,2.520587e+02,-7.305224e-04
JT115KE,Realtime,3.047495e+02,-4.249062e-04
JT115KE,Realtime,3.684548e+02,-1.118388e-04
JT115KE,Realtime,4.454773e+02,-1.375462e-04
JT115KE,Realtime,5.386006e+02,-4.615591e-05
JT115KE,Realtime,6.511906e+02,-2.054997e-05
JT115KE,Realtime,7.873166e+02,-8.915175e-06
JT115KE,Realtime,9.518985e+02,-1.137468e-05
JT115KE,Realtime,1.150885e+03,2.066002e-05
JT115KE,Realtime,1.391468e+03,-5.219756e-06
JT115KE,Realtime,1.682343e+03,1.522999e-04
JT115KE,Realtime,2.034023e+03,4.734311e-05
JT115KE,Realtime,2.459218e+03,5.488111e-05
JT115KE,Realtime,2.973297e+03,7.574106e-05
JT115KE,Realtime,3.594840e+03,9.812817e-05
JT115KE,Realtime,4.346312e+03,1.186609e-04
JT115KE,Realtime,5.254872e+03,1.593081e-04
JT115KE,Realtime,6.353360e+03,1.915729e-04
JT115KE,Realtime,7.681477e+03,2.268433e-04
JT115KE,Realtime,9.287226e+03,2.845134e-04
JT115KE,Realtime,1.122864e+04,4.125173e-04
JT115KE,Realtime,1.357590e+04,5.833518e-04
JT115KE,Realtime,1.641383e+04,7.184778e-04
JT115KE,Realtime,1.984500e+04,8.165966e-04
JT115KE,Physical,1.000000e+01,-1.427422e-02
JT115KE,Physical,1.209042e+01,6.481224e-02
JT115KE,Physical,1.461782e+01,8.738968e-02
JT115KE,Physical,1.767355e+01,8.375759e-02
JT115KE,Physical,2.136806e+01,9.493248e-02
JT115KE,Physical,2.583488e+01,7.270997e-02
JT115KE,Physical,3.123544e+01,6.530191e-02
JT115KE,Physical,3.776495e+01,8.693753e-02
JT115KE,Physical,4.565940e+01,6.040873e-02
JT115KE,Physical,5.520412e+01,5.313262e-02
JT115KE,Physical,6.674408e+01,3.814721e-02
JT115KE,Physical,8.069638e+01,4.284428e-02
JT115KE,Physical,9.756529e+01,1.351292e-03
JT115KE,Physical,1.179605e+02,5.545933e-02
JT115KE,Physical,1.426192e+02,2.023833e-02
JT115KE,Physical,1.724325e+02,9.999779e-03
JT115KE,Physical,2.084781e+02,1.720652e-02
JT115KE,Physical,2.520587e+02,-2.150686e-04
JT115KE,Physical,3.047495e+02,3.152955e-02
JT115KE,Physical,3.684548e+02,-4.301775e-03
JT115KE,Physical,4.454773e+02,5.462132e-03
JT115KE,Physical,5.386006e+02,1.197117e-03
JT115KE,Physical,6.511906e+02,3.589028e-03
JT115KE,Physical,7.873166e+02,5.291234e-04
JT115KE,Physical,9.518985e+02,-4.451223e-04
JT115KE,Physical,1.150885e+03,-2.158289e-03
JT115KE,Physical,1.391468e+03,-1.345532e-03
JT115KE,Physical,1.682343e+03,-2.704670e-03
JT115KE,Physical,2.034023e+03,-6.322338e-03
JT115KE,Physical,2.459218e+03,-4.202019e-03
JT115KE,Physical,2.973297e+03,-1.169813e-03
JT115KE,Physical,3.594840e+03,-1.986444e-03
JT115KE,Physical,4.346312e+03,-2.946780e-03
JT115KE,Physical,5.254872e+03,-5.086789e-03
JT115KE,Physical,6.353360e+03,-2.871714e-03
JT115KE,Physical,7.681477e+03,-5.107845e-03
JT115KE,Physical,9.287226e+03,-3.554521e-03
JT115KE,Physical,1.122864e+04,-3.972142e-03
JT115KE,Physical,1.357590e+04,-3.932095e-03
JT115KE,Physical,1.641383e+04,-5.231650e-03
JT115KE,Physical,1.984500e+04,-1.191730e+00
